 time            x1.comp_p       x1.comp_m       dout0           dout1           dout2           dout3           dout4           dout5           dout6           dout7           data_rdy        vinp            vinm           
 1.47997069e-09  4.84919768e-02  8.64553007e-01 -5.22774284e-07 -5.22911321e-07 -5.22911259e-07 -5.22911278e-07 -5.22911249e-07 -5.22911206e-07 -5.21837049e-07  1.79943440e+00 -5.39445425e-06  9.00073374e-01  8.99926626e-01 
 1.56790152e-09  2.18872961e-02  8.24788711e-01  5.00158444e-07  5.00349429e-07  5.00349374e-07  5.00349392e-07  5.00349364e-07  5.00349307e-07  4.99380190e-07  1.80050421e+00  5.17338155e-06  9.00077734e-01  8.99922266e-01 
 1.65743014e-09  6.68626127e-02  8.29873713e-01 -4.60613551e-07 -4.60851540e-07 -4.60851492e-07 -4.60851509e-07 -4.60851484e-07 -4.60851414e-07 -4.59982223e-07  1.79954694e+00 -4.94082932e-06  9.00082173e-01  8.99917827e-01 
 1.74955759e-09  7.56803335e-02  8.61826371e-01  4.42245821e-07  4.42523276e-07  4.42523236e-07  4.42523251e-07  4.42523229e-07  4.42523150e-07  4.41743907e-07  1.80040598e+00  4.74085845e-06  9.00086740e-01  8.99913260e-01 
 1.86321121e-09  1.01787757e-01  5.79079013e-01 -4.11300517e-07 -4.11606088e-07 -4.11606055e-07 -4.11606069e-07 -4.11606048e-07 -4.11605963e-07 -4.10894432e-07  1.79962708e+00 -4.64570450e-06  9.00092375e-01  8.99907625e-01 
 1.97668801e-09  9.45882341e-02  1.04570014e-01  4.00048198e-07  4.00378279e-07  4.00378254e-07  4.00378267e-07  4.00378247e-07  4.00378158e-07  3.99728449e-07  1.80034116e+00  4.72870824e-06  9.00098001e-01  8.99901999e-01 
 2.00000000e-09  9.08858279e-02  6.69018872e-02 -3.10543043e-07 -3.10947817e-07 -3.10947831e-07 -3.10947840e-07 -3.10947827e-07 -3.10947733e-07 -3.10526377e-07  1.79977119e+00 -2.32594305e-06  9.00099157e-01  8.99900843e-01 
 2.01406117e-09  9.22653217e-02  6.39781511e-02 -1.85880046e-08 -1.85764871e-08 -1.85764726e-08 -1.85764741e-08 -1.85764715e-08 -1.85764672e-08 -1.85265341e-08  1.79995668e+00 -1.92983987e-06  9.00099854e-01  8.99900146e-01 
 2.04218352e-09  9.28247905e-02  6.08235215e-02  5.93570700e-08  5.93807975e-08  5.93807866e-08  5.93807878e-08  5.93807863e-08  5.93807791e-08  5.93531783e-08  1.80002803e+00  6.37558140e-07  9.00101248e-01  8.99898752e-01 
 2.09842821e-09  9.24252533e-02  5.96601320e-02  3.34040206e-09  3.26918829e-09  3.26919784e-09  3.26919680e-09  3.26919774e-09  3.26920498e-09  3.28815147e-09  1.79997665e+00 -8.02711554e-08  9.00104036e-01  8.99895964e-01 
 2.16151928e-09  9.27082512e-02  5.87666454e-02 -2.03845668e-07 -2.03677893e-07 -2.03677901e-07 -2.03677900e-07 -2.03677900e-07 -2.03677908e-07 -2.03694211e-07  1.80001685e+00  7.23311309e-08  9.00107164e-01  8.99892836e-01 
 2.22599202e-09  9.24913073e-02  5.83607444e-02  3.39494611e-07  3.39152280e-07  3.39152284e-07  3.39152283e-07  3.39152284e-07  3.39152291e-07  3.39181818e-07  1.80011058e+00 -1.77418824e-07  9.00110361e-01  8.99889639e-01 
 2.30517021e-09  9.26605370e-02  5.80649703e-02 -3.17870176e-08 -3.12258115e-08 -3.12258121e-08 -3.12258109e-08 -3.12258119e-08 -3.12258183e-08 -3.12945126e-08  1.81697668e+00  3.70564487e-07  9.00114286e-01  8.99885714e-01 
 2.38817249e-09  9.25710511e-02  5.79811179e-02 -6.91100993e-07 -6.91930842e-07 -6.91930846e-07 -6.91930847e-07 -6.91930846e-07 -6.91930840e-07 -6.91787645e-07  1.02205044e-01 -5.85270098e-07  9.00118401e-01  8.99881599e-01 
 2.48231105e-09  1.02469481e-01  6.90624749e-02  1.57638579e-06  1.57747319e-06  1.57747320e-06  1.57747320e-06  1.57747320e-06  1.57747319e-06  1.57723994e-06 -3.70532278e-02  8.03416331e-07  9.00123069e-01  8.99876931e-01 
 2.58040287e-09  1.43658281e-01  1.13721318e-01 -2.47406582e-06 -2.47541014e-06 -2.47541016e-06 -2.47541016e-06 -2.47541016e-06 -2.47541015e-06 -2.47508793e-06  3.67218520e-02 -9.91811177e-07  9.00127932e-01  8.99872068e-01 
 2.69046966e-09  2.06578955e-01  1.80011176e-01  3.24613929e-06  3.24770546e-06  3.24770549e-06  3.24770549e-06  3.24770549e-06  3.24770548e-06  3.24732503e-06 -3.00645823e-02  1.16479651e-06  9.00133389e-01  8.99866611e-01 
 2.80508721e-09  2.59573160e-01  2.32306862e-01 -3.89154412e-06 -3.89331190e-06 -3.89331194e-06 -3.89331194e-06 -3.89331194e-06 -3.89331193e-06 -3.89290569e-06  2.96025183e-02 -1.29898748e-06  9.00139071e-01  8.99860929e-01 
 2.92253414e-09  2.80087467e-01  2.76269702e-01  4.43676090e-06  4.43870643e-06  4.43870648e-06  4.43870648e-06  4.43870648e-06  4.43870647e-06  4.43830392e-06 -2.66704753e-02  1.43126754e-06  9.00144894e-01  8.99855106e-01 
 3.03798074e-09  4.30287324e-01  3.19395824e-01 -4.86839453e-06 -4.87050027e-06 -4.87050033e-06 -4.87050033e-06 -4.87050033e-06 -4.87050032e-06 -4.87012070e-06  2.61134387e-02 -1.52966363e-06  9.00150618e-01  8.99849382e-01 
 3.12480434e-09  6.99312854e-01  3.49021228e-01  5.29880834e-06  5.30108704e-06  5.30108712e-06  5.30108712e-06  5.30108712e-06  5.30108711e-06  5.30073797e-06 -2.39782791e-02  1.65212200e-06  9.00154922e-01  8.99845078e-01 
 3.23168081e-09  8.58092541e-01  5.05886367e-01 -5.51017814e-06 -5.51256422e-06 -5.51256432e-06 -5.51256432e-06 -5.51256432e-06 -5.51256431e-06 -5.51221801e-06  2.33564683e-02 -1.71088865e-06  9.00160221e-01  8.99839779e-01 
 3.35220757e-09  9.11276117e-01  7.41623686e-01  5.63488039e-06  5.63733493e-06  5.63733506e-06  5.63733506e-06  5.63733506e-06  5.63733504e-06  5.63695915e-06 -2.21749841e-02  1.76273248e-06  9.00166197e-01  8.99833803e-01 
 3.47693921e-09  9.96371364e-01  8.84712781e-01 -5.67685255e-06 -5.67935034e-06 -5.67935049e-06 -5.67935049e-06 -5.67935049e-06 -5.67935046e-06 -5.67890992e-06  2.17176323e-02 -1.77974378e-06  9.00172381e-01  8.99827619e-01 
 3.61741106e-09  7.46977277e-01  1.02648764e+00  5.68931225e-06  5.69182952e-06  5.69182969e-06  5.69182968e-06  5.69182968e-06  5.69182966e-06  5.69130074e-06 -2.08546557e-02  1.80095603e-06  9.00179345e-01  8.99820655e-01 
 3.77633884e-09  1.81520378e-01  1.07178091e+00 -5.65437544e-06 -5.65689578e-06 -5.65689596e-06 -5.65689596e-06 -5.65689596e-06 -5.65689593e-06 -5.65626414e-06  2.05548784e-02 -1.79376845e-06  9.00187224e-01  8.99812776e-01 
 3.92426195e-09  1.66716026e-01  1.06898628e+00  5.61149743e-06  5.61400687e-06  5.61400706e-06  5.61400706e-06  5.61400706e-06  5.61400703e-06  5.61324186e-06 -1.98284827e-02  1.79741837e-06  9.00194558e-01  8.99805442e-01 
 4.08684153e-09  2.67482634e-01  1.05402361e+00 -5.53519201e-06 -5.53767928e-06 -5.53767949e-06 -5.53767949e-06 -5.53767949e-06 -5.53767946e-06 -5.53677351e-06  1.95428153e-02 -1.77619898e-06  9.00202618e-01  8.99797382e-01 
 4.20692975e-09  3.95168175e-01  1.04297585e+00  5.43063748e-06  5.43307767e-06  5.43307790e-06  5.43307790e-06  5.43307790e-06  5.43307787e-06  5.43195952e-06 -1.87810612e-02  1.76054655e-06  9.00208572e-01  8.99791428e-01 
 4.32061007e-09  6.59469241e-01  1.03263810e+00 -5.27608657e-06 -5.27845685e-06 -5.27845711e-06 -5.27845710e-06 -5.27845711e-06 -5.27845707e-06 -5.27709220e-06  1.83206548e-02 -1.71465310e-06  9.00214208e-01  8.99785792e-01 
 4.39264574e-09  7.42830489e-01  1.02708716e+00  5.02250032e-06  5.02472598e-06  5.02472627e-06  5.02472626e-06  5.02472627e-06  5.02472622e-06  5.02296485e-06 -1.72878153e-02  1.64986320e-06  9.00217780e-01  8.99782220e-01 
 4.49400953e-09  8.18450805e-01  1.01975949e+00 -4.80470118e-06 -4.80679964e-06 -4.80679995e-06 -4.80679995e-06 -4.80679995e-06 -4.80679989e-06 -4.80475669e-06  1.67930135e-02 -1.57686257e-06  9.00222805e-01  8.99777195e-01 
 4.66231580e-09  8.92782844e-01  1.00851498e+00  4.68398260e-06  4.68599691e-06  4.68599723e-06  4.68599723e-06  4.68599723e-06  4.68599716e-06  4.68378818e-06 -1.63377755e-02  1.54491855e-06  9.00231149e-01  8.99768851e-01 
 4.86398481e-09  9.39164903e-01  9.96920021e-01 -4.56351882e-06 -4.56545866e-06 -4.56545898e-06 -4.56545898e-06 -4.56545898e-06 -4.56545891e-06 -4.56311540e-06  1.61463494e-02 -1.49948824e-06  9.00241148e-01  8.99758852e-01 
 5.04008993e-09  9.38978182e-01  9.87545544e-01  4.44441889e-06  4.44627000e-06  4.44627033e-06  4.44627033e-06  4.44627033e-06  4.44627026e-06  4.44377997e-06 -1.57316711e-02  1.46627972e-06  9.00249879e-01  8.99750121e-01 
 5.22904524e-09  9.54048728e-01  9.79374770e-01 -4.31367180e-06 -4.31543661e-06 -4.31543695e-06 -4.31543695e-06 -4.31543695e-06 -4.31543686e-06 -4.31281690e-06  1.55248718e-02 -1.41599407e-06  9.00259247e-01  8.99740753e-01 
 5.42526274e-09  9.54649514e-01  9.71710916e-01  4.20590435e-06  4.20758387e-06  4.20758422e-06  4.20758422e-06  4.20758422e-06  4.20758413e-06  4.20484773e-06 -1.51641731e-02  1.38524136e-06  9.00268975e-01  8.99731025e-01 
 5.61866827e-09  9.62407865e-01  9.65784550e-01 -4.07693952e-06 -4.07853002e-06 -4.07853037e-06 -4.07853037e-06 -4.07853037e-06 -4.07853027e-06 -4.07568403e-06  1.49677996e-02 -1.33441922e-06  9.00278564e-01  8.99721436e-01 
 5.99597682e-09  9.64783808e-01  9.56550247e-01  4.02512811e-06  4.02667242e-06  4.02667277e-06  4.02667277e-06  4.02667277e-06  4.02667267e-06  4.02377390e-06 -1.47521369e-02  1.32236325e-06  9.00297270e-01  8.99702730e-01 
 6.46746197e-09  9.70488810e-01  9.49333457e-01 -3.96674701e-06 -3.96825394e-06 -3.96825430e-06 -3.96825430e-06 -3.96825430e-06 -3.96825419e-06 -3.96531510e-06  1.47160271e-02 -1.29578376e-06  9.00320645e-01  8.99679355e-01 
